id,word,pos,gender,translation,example_de,example_en,frequency,dispersion
1,der,art,,the,"Der Mann und die Frau kochen, das Kind spielt.",The man and the woman are cooking; the child is playing.,98121.3994047137,0.985748849292909
1,der,pron,,"that, those","Das ist der Mann, den ich liebe.",That’s the man I love.,98121.3994047137,0.985748849292909
1,der,pron,,"who, that","Dort steht das Mädchen, das mit mir zur Schule geht.",There’s the girl who goes to school with me.,98121.3994047137,0.985748849292909
2,und,conj,,and,Die Eltern und Kinder essen und sprechen über ihren Tag.,The parents and children eat and talk about their day.,26562.1138941099,0.976565375470124
3,in,prep,,in,Günter geht in den Keller.,Günter goes into the basement.,24319.0219460678,0.977144419461825
4,sein,verb,,to be,Ich bin Lehrer und du bist Polizist und damit sind wir glücklich.,"I’m a teacher, and you’re a police officer, and we’re happy with that.",23948.8531272045,0.966774501407212
4,sein,aux,,(past tense),Janosch ist heute Morgen in die Schule gefahren.,Janosch went to school this morning.,23948.8531272045,0.966774501407212
5,ein,art,,"a, an",Er wohnt in einem Hotel.,He’s staying at a hotel.,22328.803944183,0.983236013304992
5,ein,pron,,one (of),Eines der Kinder hat sich beim Spielen verletzt.,One of the children was injured while playing.,22328.803944183,0.983236013304992
6,haben,verb,,to have,Ich habe ein Buch in der Hand.,I have a book in my hand.,12452.0335431794,0.941569945956103
6,haben,aux,,(past tense),Sie hat sich gestern einen Film angesehen.,She was watching a movie yesterday.,12452.0335431794,0.941569945956103
7,sie,pron,,"she, her","Paul besucht Anna, sie ist Pauls Tante.",Paul visits Anna; she’s Paul’s aunt.,10186.3697246754,0.939017458725529
7,sie,pron,,"they, them","Petra und Klaus kochen, sie bekommen Besuch.",Petra and Klaus are cooking; they have a visitor.,10186.3697246754,0.939017458725529
7,sie,pron,,you,Ich bitte Sie um Ihr Verständnis.,I ask you for your understanding.,10186.3697246754,0.939017458725529
8,werden,verb,,"to become, get",Der Junge wird zum Mann.,The boy becomes a man.,10166.3113157715,0.975331568209246
8,werden,aux,,(future tense),Ich werde bald als Lehrer arbeiten.,I’ll be working as a teacher soon.,10166.3113157715,0.975331568209246
8,werden,aux,,(passive voice),Das Auto wird gefahren.,The car is being driven.,10166.3113157715,0.975331568209246
9,von,prep,,"from, of",Benjamin ist der Bruder von Anna.,Benjamin is the brother of Anna.,10060.1052440566,0.979008027636438
10,ich,pron,,I,Ich arbeite und du bleibst zu Hause.,I work and you stay home.,9785.54653151669,0.890874681457969
11,nicht,part,,not,Im Restaurant darf man nicht rauchen.,You can’t smoke in the restaurant.,9291.42955935273,0.956185824412173
12,es,pron,,it,"Das Kind geht ins Bett, es ist müde.",The child goes to bed; she is tired.,8508.90519429994,0.958522206037217
13,mit,prep,,with,Mein Bruder spielt mit Janosch Fußball im Garten.,My brother plays soccer in the garden with Janosch.,8467.50700393312,0.981088351175872
14,sich,pron,,-self,Das Kind sieht sich im Spiegel.,The child sees itself in the mirror.,7747.57276003017,0.96987756475769
15,er,pron,,he,"Jan hat gute Noten in der Schule, er ist ein kluges Kind.",Jan has good grades in school; he’s a smart child.,6838.24179519901,0.903069965263372
16,auf,prep,,"on, at, to",Auf dem Tisch steht ein Glas Wasser.,There’s a glass of water on the table.,6800.78628962903,0.971427015295116
17,für,prep,,for,Sie macht einen Kaffee für Max.,She’s making coffee for Max.,6621.19699713298,0.967719711783705
18,auch,adv,,"also, too","Auch ich habe Geburtstag, nicht nur Markus.","It’s my birthday too, not just Markus’s.",6378.96829992713,0.951003991764715
19,an,prep,,"at, on",Das Bild hängt an der Wand.,The picture hangs on the wall.,6163.45129221987,0.97315922559554
20,dass,conj,,that,"Ich vermute, dass der Zug wieder zu spät kommt.",I suspect the train will be late again.,5531.09393436672,0.96027232545771
21,zu,part,,to,"Ich versuche, dich zu verstehen.",I’m trying to understand you.,5513.0,0.98022184827965
21,zu,prep,,to,Heute gehe ich zu meiner Nachbarin.,Today I go to my neighbor.,5513.0,0.98022184827965
21,zu,part,,too,Es ist zu kalt für eine Party im Garten.,It’s too cold for a party in the garden.,5513.0,0.98022184827965
22,als,conj,,"as, when","Als ich nach Hause komme, ist es schon dunkel.","When I get home, it’s already dark.",5499.74959023184,0.973239040516429
22,als,part,,than,"Tim ist Paulas großer Bruder, weil er älter ist als sie.",Tim is Paula’s big brother because he’s older than she is.,5499.74959023184,0.973239040516429
23,können,verb,,"to be able to, can",Die Kinder können schon Fahrrad fahren.,The children can already ride bicycles.,5304.34027498846,0.973312268997051
24,dies,pron,,"this, that",Besonders dieses Bild gefällt mir sehr.,I especially like this picture.,5099.46851623267,0.967867256484731
25,wie,pron,,how,Wie lange dauert es?,How long does it take?,4841.32122915958,0.966348418228301
25,wie,part,,as,Johanna ist so alt wie Matthias.,Johanna is as old as Matthias.,4841.32122915958,0.966348418228301
26,wir,pron,,we,"Fernando und ich wollen Urlaub machen, wir fahren im Sommer.",Fernando and I are going on vacation; we’re going in summer.,4602.44381403105,0.913061583243917
27,ihr,pron,,"you, her",Das Mädchen ärgert ihren Bruder.,The girl annoys her brother.,4598.94468127385,0.950512860901341
27,ihr,pron,,"her, their, hers, theirs",Die Familie plant ihren Urlaub bereits im Winter.,The family plans their vacation already in winter.,4598.94468127385,0.950512860901341
27,ihr,pron,,your,Bitte geben Sie Ihr Blatt am Ende der Stunde ab.,Please hand in your paper at the end of the lesson.,4598.94468127385,0.950512860901341
28,so,adv,,"so, thus, the way, such",Ich beobachte Klaus und mache alles so wie er.,I watch Klaus and do everything the way he does.,4519.35173193765,0.93774240867206
28,so,part,,so,Das Wetter ist heute so schön.,The weather is so nice today.,4519.35173193765,0.93774240867206
29,bei,prep,,"by, with, at",Jan ist bei einem neuen Arzt.,Jan’s with a new doctor.,4312.26221298364,0.964076646413686
30,sein,pron,,"his, its",Der Junge ärgert seine Schwester.,The boy annoys his sister.,4061.6553105845,0.934146123920172
31,aber,conj,,but,"Die Sonne scheint, aber es ist trotzdem kalt.","The sun is shining, but it’s still cold.",4023.80553653484,0.949397440548359
31,aber,part,,,Das ist aber nicht nett von Tim.,That’s not nice of Tim.,4023.80553653484,0.949397440548359
32,man,pron,,"one, you, they",Hier erzählt man sich Geschichten.,They tell stories here.,3629.14278837117,0.945158216689374
33,noch,adv,,"still, yet",Habt ihr sonst noch Fragen?,Do you still have any questions?,3375.3324545746,0.951393963139556
34,nach,prep,,"after, toward",Nach dem Mittagessen gehen wir spazieren.,After lunch we go for a walk.,3307.7154103088,0.96816345324025
35,oder,conj,,or,Kommst du mit dem Fahrrad oder fährst du mit dem Bus?,Are you coming by bike or are you going by bus?,3301.75209955358,0.956197764589388
36,all,pron,,all,Wir freuen uns alle auf den Urlaub.,We are all looking forward to our vacation.,3269.32351709957,0.967433392159544
37,aus,prep,,"out, out of, from",Thomas schaut aus dem Fenster.,Thomas looks out the window.,3218.16718186057,0.976399575558375
38,was,pron,,what,Was sagst du?,What do you say?,3150.64870471469,0.913628615317248
39,nur,adv,,only,Das kostet nur zwei Euro.,It only costs two euros.,3000.03814547541,0.977285867685821
40,sagen,verb,,"to say, tell","Der Kollege sagt ihr, wo sie die Schlüssel findet.",The colleague tells her where to find the keys.,2953.71159911254,0.923003849100285
41,dann,adv,,then,Erst gehen wir einkaufen und dann in ein Restaurant.,"First we go shopping, then we go to a restaurant.",2898.71114619662,0.912808569013773
42,wenn,conj,,"if, when","Ich erzähle es dir, wenn wir uns sehen.",I’ll tell you when we see each other.,2838.04308388525,0.953047308965478
43,müssen,verb,,"to have to, must","Ich muss um neun zu Hause sein, sonst ist meine Mutter böse.",I have to be home by nine o’clock or my mother will be angry.,2787.72456916558,0.95541198033977
44,um,prep,,"around, at",Die Kinder laufen um den Baum.,The children run around the tree.,2684.72192884814,0.967943124461274
44,um,conj,,in order to,"Ich arbeite auch am Wochenende, um meinen Urlaub bezahlen zu können.",I also work on weekends in order to pay for my vacation.,2684.72192884814,0.967943124461274
45,ja,part,,"yes, of course","Ja, ich verstehe das.","Yes, I understand that.",2526.52170137494,0.816524121127013
46,kein,pron,,no,"Sie haben keine Chance, das Spiel zu gewinnen.",They have no chance of winning the game.,2476.99172361464,0.96257523573994
47,über,prep,,"above, over, about",Über mir fliegt ein Flugzeug.,There’s a plane flying above me.,2382.26872137056,0.972624814379222
48,da,adv,,there,Da hinten steht mein Auto.,There’s my car over there.,2326.43044793532,0.897028411444342
48,da,conj,,because,"Da ich eine neue Arbeit habe, ziehe ich in eine andere Stadt.","Because I have a new job, I’m moving to another city.",2326.43044793532,0.897028411444342
49,geben,verb,,to give,Timo gibt dem Verkäufer die Bücher.,Timo gives the books to the seller.,2240.43063580425,0.965516657502514
50,vor,prep,,"in front of, before, ago",Laura wartet vor der Tür auf ihre Freunde.,Laura is waiting in front of the door for her friends.,2163.79470006568,0.953935750434218
51,mein,pron,,"my, mine",Anna ist meine kleine Schwester.,Anna is my little sister.,2105.19654727264,0.895121119210004
52,mehr,adv,,more,Ich habe Hunger und möchte mehr Brot.,I’m hungry and want more bread.,2081.88542341133,0.957348988440384
53,Jahr,noun,das,year,Ein Jahr hat 52 Wochen.,A year has 52 weeks.,2079.56909609318,0.937609843063699
54,du,pron,,you,Wer bist du?,Who are you?,2042.06430696324,0.829500305900465
55,durch,prep,,through,Ralf läuft durch die Stadt.,Ralf walks through the city.,2037.92448792656,0.940426723338643
56,viel,pron,,"much, a lot, many",Ich gebe im Urlaub viel Geld aus.,I spend a lot of money on vacation.,2032.99613193051,0.942867754176494
57,wollen,verb,,to want to,Die Kinder wollen spielen.,The children want to play.,2017.6689447828,0.933935560312433
58,machen,verb,,"to do, make",Die Schüler machen ihre Aufgaben.,The students do their tasks.,1971.09598062013,0.928747377659966
59,"andere (r, s)",pron,,other,Es gibt noch einen anderen Weg zum Bahnhof.,There’s another way to the station.,1940.9344419243,0.970559908460345
60,sollen,verb,,"should, ought to",Ihr sollt in der Bibliothek leise sein.,You should be quiet in the library.,1839.85386044532,0.957702018605499
61,schon,adv,,already,Günter arbeitet schon seit 30 Jahren hier.,Günter has been working here for 30 years now.,1839.70600976544,0.933228590427611
61,schon,part,,,Die Karten für das Theater sind schon sehr teuer.,The tickets for the theater are really expensive.,1839.70600976544,0.933228590427611
62,kommen,verb,,to come,Wir kommen morgen Abend zu dir.,We’ll come to your place tomorrow night.,1836.94613040765,0.945349345004173
63,mir,pron,,me,Gibst du mir dein Fahrrad?,Are you giving me your bike?,1798.99778923807,0.887596981997641
64,immer,adv,,always,Zum Frühstück esse ich immer eine Scheibe Brot.,I always have a slice of bread for breakfast.,1703.33839935474,0.946640638434254
65,mich,pron,,me,Timo setzt sich neben mich an den Tisch.,Timo sits down next to me at the table.,1683.87139317034,0.890610230542574
65,mich,pron,,Reflexive pronoun in the acc.,Nach der Schule lege ich mich immer kurz ins Bett.,After school I always lie down in bed for a while.,1683.87139317034,0.890610230542574
66,gehen,verb,,to go,Wir gehen heute ins Theater.,We’re going to the theater today.,1648.68293135855,0.943839694253337
67,groß,adj,,"big, large, great",Florian hat eine große Wohnung.,Florian has a big apartment.,1636.95344408795,0.967856249522763
68,hier,adv,,here,Hier ist mein Zimmer.,Here is my room.,1620.5420186211,0.927950154780344
69,ganz,adj,,"whole, all the",Das ganze Zimmer ist leer.,The whole room is empty.,1575.44756125725,0.930999448797306
69,ganz,part,,quite,Er löst die Aufgabe ganz gut.,He’s solving the task quite well.,1575.44756125725,0.930999448797306
70,zwei,num,,two,"Anna hat zwei Schwestern, Tina und Sarah.","Anna has two sisters, Tina and Sarah.",1571.2584586606,0.969659722450975
71,also,adv,,so,Das ist also der neue Schüler.,"So, this is the new student.",1568.25216150301,0.841750680672394
72,jetzt,adv,,now,Wir müssen jetzt ins Bett.,We have to go to bed now.,1541.49118844446,0.903612771181303
73,doch,adv,,"however, but","Heute scheint die Sonne, doch ich bleibe zu Hause.","Today the sun is shining, but I’m staying at home.",1539.17486112632,0.925322604620131
73,doch,part,,,Er kommt doch nicht zum Spiel.,He’s not coming to the game after all.,1539.17486112632,0.925322604620131
